,Method,Min/Max,Rep,Question,Norm_MSE,Det,MSE,Hitrate,Prob. Sel,Mu_1,Mu_2,Mu_3,Mu_4,Mu_5,Mu_6,True_1,True_2,True_3,True_4,True_5,True_6
40,0.0,0.0,3.0,8.0,0.016949053555537236,0.020427557213371045,0.1882187237112277,0.8653846153846154,0.92,1.1166149114239647,0.8659699045644538,1.0679799929796248,2.3236607366627884,0.634915574627751,0.7828321464786232,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
41,0.0,0.0,3.0,9.0,0.021805048799203804,0.013322606158149486,0.21412465162636296,0.8653846153846154,0.92,0.9107913476974158,0.6531607060466177,1.211643022055708,2.4549098800889455,0.5073695344494367,0.4968581979043352,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
42,0.0,0.0,3.0,10.0,0.013723563635347597,0.009199338399728812,0.18197032506213626,0.8653846153846154,0.92,1.0834437413972644,0.5269232719191723,1.4066042916099062,2.384448242915086,0.6356026446883551,0.7193330463084274,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
43,0.0,0.0,3.0,11.0,0.011069709004618504,0.006652644173312405,0.16857927541530685,0.8653846153846154,0.92,1.2488821527068608,0.6763303409240852,1.529903106375361,2.2510007055193184,0.42878630313606764,0.7883238054758331,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
44,0.0,0.0,3.0,12.0,0.022323339341734517,0.004504691583580014,0.2543386968591664,0.8653846153846154,0.92,1.444138454133845,0.48934658977054457,1.358280020637161,2.340870994892625,0.24229220132810114,0.6493889074545803,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
45,0.0,0.0,3.0,13.0,0.015602831262018784,0.003164667797947044,0.2175427615754971,0.8653846153846154,0.92,1.27458534467854,0.6280646660999064,1.5240401098191074,2.400320818484212,0.450079941685791,0.46626299017292816,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
46,0.0,0.0,3.0,14.0,0.021048975911150233,0.002431077365581868,0.2369245263109191,0.8653846153846154,0.92,1.2292768619920427,0.44444325819819963,1.6316529912312536,2.326728423972127,0.3060694386257976,0.28968950479295186,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
47,0.0,0.0,3.0,15.0,0.023501864152226687,0.0017874416092151211,0.2470762985505736,0.8653846153846154,0.92,1.0641737102664572,0.29671872162513346,1.7322644177333746,2.3031436388558753,0.4552364917999017,0.11826584482290034,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
48,0.0,0.0,3.0,16.0,0.023963338932234762,0.001362711420017745,0.2654504865258912,0.8653846153846154,0.92,1.1870277424905158,0.41602258621341465,1.6215314170779536,2.350001774325915,0.5927081428110104,-0.025805221958642932,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
49,0.0,0.0,4.0,1.0,0.025156520968446918,0.5759238594088948,0.159938437022864,0.8241758241758241,0.92,1.265855894734693,1.265855894734693,0.734144105265307,1.265855894734693,0.734144105265307,0.734144105265307,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
50,0.0,0.0,4.0,2.0,0.047209112956527556,0.3646293951325867,0.30999210410434397,0.8241758241758241,0.92,0.9630031399336135,1.5687086495357723,0.4312913504642276,1.265855894734693,1.0369968600663864,0.734144105265307,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
51,0.0,0.0,4.0,3.0,0.05307778079687406,0.2168721662078517,0.3620258351879014,0.8241758241758241,0.92,0.7802451587858801,1.8279902322632053,0.7133531322069298,1.0334460132894752,1.2197548412141197,0.4252106222403897,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
52,0.0,0.0,4.0,4.0,0.042033741291431774,0.12687745575417533,0.29965840015704237,0.8241758241758241,0.92,0.5652496302241121,1.5537505532120444,0.9150395142863289,1.3829388989899456,1.4347503697758877,0.14827103351168092,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
53,0.0,0.0,4.0,5.0,0.04439098801047131,0.07853170074344842,0.3277883114425711,0.8241758241758241,0.92,0.7630355911994362,1.7532761770426697,1.1617290857144809,1.1613103958383961,1.2369644088005636,-0.07631565859554687,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
54,0.0,0.0,4.0,6.0,0.06459000880241535,0.047899344235997794,0.46243651375799816,0.8241758241758241,0.92,0.4406931297115414,1.928060135463568,0.9872227070293084,1.3669490202812231,0.9445453855490762,-0.28223186277409973,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
55,0.0,0.0,4.0,7.0,0.06934239401117305,0.02885947836383827,0.5112108183908745,0.8241758241758241,0.92,0.15998745544911197,2.1375190825456296,1.2184124329775614,1.2344527205811415,0.6665016247921192,0.002578861998512205,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
56,0.0,0.0,4.0,8.0,0.04736492535965806,0.018578545859906665,0.3938409453752693,0.8241758241758241,0.92,0.30099461050793963,2.0256118137741215,1.4743561596479335,1.5136854967965432,0.48408120644729435,0.21212799395332546,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
57,0.0,0.0,4.0,9.0,0.046315369699139984,0.011940072313415227,0.4157596328841376,0.8241758241758241,0.92,0.5329393428509592,2.2244590598346394,1.3156842731352985,1.382148492606473,0.7126119455831552,0.4152262089191042,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
58,0.0,0.0,4.0,10.0,0.0374239699266347,0.008398703038159367,0.3691426381985214,0.8241758241758241,0.92,0.7418239803920356,2.1120249189812745,1.3365062640531231,1.5250011190162658,0.9186762942070178,0.22304242398281712,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
59,0.0,0.0,4.0,11.0,0.047136608369074344,0.0059792869935159886,0.4381220177911091,0.8241758241758241,0.92,0.6213628085961913,2.1937871212206375,1.4739106738914616,1.3802607857647575,0.7655277765291022,0.0423239028552759,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
60,0.0,0.0,4.0,12.0,0.052146577649192095,0.004381450486692969,0.4659254199377025,0.8241758241758241,0.92,0.8084659421898316,2.1566032605882803,1.4623485538357137,1.1649769519971824,0.9069949310230618,-0.159046846452702,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
